"STATION","DATE","ACMH","ACSH","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WESD","WSF1","WSF2","WSF5","WSFG","WSFM","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV01"
"USW00094789","1970-01-01","   80","   90",,,,"    0","    0","    0",,"  -22","  -56",,"  330",,,,,,"   63",,,,,,,,,,,,"    1",,,,,,,,,,,,
"USW00094789","1970-01-02","   30","   20",,,,"    0","    0","    0",,"   -6","  -56",,"  290",,,,,,"   80",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","1970-01-03","   80","  100",,,,"    5","    0","    0",,"   33","  -39",,"  310",,,,,,"   76",,,,,,,,,,,,"    1",,,,,,"    1",,"    1",,,,
"USW00094789","1970-01-04","   10","   20",,,,"    0","    0","    0",,"   -6","  -50",,"  300",,,,,,"   80",,,,,,,,,,,,,,,,,,,,"    1",,,,
"USW00094789","1970-01-05","   30","   10",,,,"    0","    0","    0",,"   17","  -61",,"  270",,,,,,"   89",,,,,,,,,,,,"    1",,,,,,,,,,,,
"USW00094789","1970-01-06","  100","  100",,,,"   10","    8","    0",,"   22","  -22",,"   40",,,,,,"   89",,,,,,,,,,,,"    1",,,,,,,,"    1",,,,
"USW00094789","1970-01-07","  100","  100",,,,"   30","   30","   51",,"  -22","  -56",,"   40",,,,,,"   98",,,,,,,,,,,,,,,,,,,,"    1",,,,
"USW00094789","1970-01-08","   50","   80",,,,"    3","    0","   51",,"  -50"," -133",,"  280",,,,,,"  134",,,,,,,,,,,,"    1","    1",,,,,,,"    1",,,,
"USW00094789","1970-01-09","    0","    0",,,,"    0","    0","   51",,"  -94"," -144",,"  300",,,,,,"  112",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","1970-01-10","   20","   10",,,,"    0","    0","   25",,"    0"," -122",,"  290",,,,,,"  125",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","1970-01-11","   50","   50",,,,"    0","    0","    0",,"  -17","  -61",,"  270",,,,,,"   89",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","1970-01-12","   90","  100",,,,"   33","   41","   25",,"   -6","  -44",,"  300",,,,,,"   63",,,,,"    1",,,,,,,"    1",,,,,,,,"    1",,,,
"USW00094789","1970-01-13","   40","   40",,,,"    0","    0","   25",,"   11","  -39",,"  290",,,,,,"  103",,,,,,,,,,,,"    1",,,,,,,,,,,,
"USW00094789","1970-01-14","   10","    0",,,,"    0","    0","    0",,"  -33","  -89",,"  300",,,,,,"  130",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","1970-01-15","   10","   10",,,,"    0","    0","    0",,"  -17"," -106",,"  300",,,,,,"   98",,,,,,,,,,,,,,,,,,,,,,,,
